
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   27400 Console                    1     30,984 K
svchost.exe                    472 Services                   0     24,184 K
WmiApSrv.exe                 35996 Services                   0     10,120 K
OpenConsole.exe              16832 Console                    1      9,420 K
powershell.exe               22000 Console                    1    219,012 K
OpenConsole.exe              31476 Console                    1      9,408 K
powershell.exe               25584 Console                    1     72,596 K
OpenConsole.exe               2948 Console                    1      9,416 K
powershell.exe               26188 Console                    1     77,896 K
OpenConsole.exe              36428 Console                    1      9,408 K
powershell.exe                5564 Console                    1     72,480 K
chrome.exe                   24568 Console                    1     98,440 K
chrome.exe                   32996 Console                    1    107,052 K
OpenConsole.exe              10876 Console                    1      9,412 K
powershell.exe               27956 Console                    1     73,980 K
tasklist.exe                 26948 Console                    1      9,664 K
docker.exe                   26716 Console                    1      2,204 K
conhost.exe                  23684 Console                    1      4,056 K
